,nom,nconst
3966,OlivierLoustau,nm0522151
3959,Marc-OlivierLouveau,nm0522177
4462,NickLove,nm0522393
2687,StephenLow,nm0522844
2576,ArikLubetzki,nm0523879
4452,JonLucas,nm0524190
1590,DanieleLuchetti,nm0524516
1798,JohnLuessenhop,nm0525141
109,BazLuhrmann,nm0525303
346,RobertLuketic,nm0525659
2410,DiegoLuna,nm0526019
5277,PascalLuneau,nm0526675
2285,PavelLungin,nm0526732
3108,TomasLunak,nm0526819
97,RodLurie,nm0527109
6648,HamiltonLuske,nm0527217
139,PatrickLussier,nm0527261
3261,MilanLuthria,nm0527453
7138,EmanueleLuzzati,nm0527810
674,NoemieLvovsky,nm0527852
5785,EurosLyn,nm0528186
920,JenniferLynch,nm0528337
3500,SholaLynch,nm0528454
2434,JonathanLynn,nm0528718
5260,PhilippeLyon,nm0528969
4576,Jean-LucLeon,nm0529614
2061,PierreLeon,nm0529616
6571,VladimirLeon,nm0529619
2804,BernardLeonard,nm0529621
4891,MichelLeviant,nm0529706
3429,Bernard-HenriLevy,nm0529717
3605,LamLe,nm0529750
5710,BrunoLopez,nm0530031
3503,GeorgMaas,nm0530981
5111,VincentMacaigne,nm0531195
1163,KevinMacdonald,nm0531817
5343,UrsulaMacfarlane,nm0532237
3301,GregMacGillivray,nm0532263
4537,SergioMachado,nm0532509
1470,DavidMackenzie,nm0533284
6234,AngusMacLane,nm0533691
1868,GuyMaddin,nm0534665
3691,MarieMaffre,nm0535577
6750,FranckMagnier,nm0536251
371,SharonMaguire,nm0536632
2870,DominiqueMaillet,nm0537608
2963,GeraldineMaillet,nm0537611
1366,JacquesMaillot,nm0537626
4554,GabrieleMainetti,nm0537734
1345,GillesdeMaistre,nm0537923
475,MohsenMakhmalbaf,nm0538532
1849,SamiraMakhmalbaf,nm0538533
1955,HoratiuMalaele,nm0538855
1978,JacquesMalaterre,nm0538977
1099,ChristopheMalavoy,nm0539022
6657,CathyMalkasian,nm0539782
1821,MathiasMalzieu,nm0540962
5480,GailMancuso,nm0541562
6731,EthanManiquis,nm0542450
2501,AmiCanaanMann,nm0542642
3000,DavideManuli,nm0544305
206,GregManwaring,nm0544337
734,ReneManzor,nm0544528
4351,NaelMarandin,nm0544828
533,OlivierMarchal,nm0545356
2050,GillesMarchand,nm0545382
0,YvonMarciano,nm0545701
3358,DavidMarconi,nm0545861
5954,RodolpheMarconi,nm0545876
2899,PaulaMarkovitch,nm0546008
6635,FrancoMaresco,nm0546510
4257,FrancoisMargolin,nm0546753
14,BenoitMariage,nm0547017
6029,GuyMarignane,nm0547377
6342,AnaMariscal,nm0548072
3041,KarlMarkovics,nm0548686
5208,VincenzoMarra,nm0550059
1142,LailaMarrakchi,nm0550071
1087,FrankMarshall,nm0550881
672,NeilMarshall,nm0551076
223,RobMarshall,nm0551128
910,JoshuaMarston,nm0551358
1573,LucreciaMartel,nm0551506
4035,FrancoisMarthouret,nm0551761
4932,Jean-LoupMartin,nm0552490
6686,JacquesMartineau,nm0553303
2777,GillesMartinerie,nm0553400
2660,SteveMartino,nm0553942
4840,MarcoMartins,nm0554076
4149,MarioMartone,nm0554280
3251,ManuelMartinCuenca,nm0554532
7413,Masayuki,nm0556094
2034,RashidMasharawi,nm0556301
3374,MaiMasri,nm0557044
6216,ChristosMassalas,nm0557122
2572,OlivierMasset-Depasse,nm0557267
348,LaetitiaMasson,nm0557501
4402,DaliborMatanic,nm0558094
1610,ToshioMatsumoto,nm0559564
5150,LorenzoMattotti,nm0560434
6520,EdouardMauriat,nm0561097
330,JohnMaybury,nm0562266
2257,MaxMayer,nm0562470
3447,MichaelMayer,nm0562476
2282,ZoltanMayer,nm0562541
713,LesMayfield,nm0562645
2661,GuyMazarguil,nm0563175
4572,AlainMazars,nm0563183
1980,BernardMazauric,nm0563189
2969,DanMazer,nm0563243
2766,PatriciaMazuy,nm0563440
5923,AissaMaiga,nm0563740
452,JonasMcCord,nm0566380
2487,JohnMichaelMcDonagh,nm0567620
4683,EricMcGinty,nm0569390
1211,DouglasMcGrath,nm0569790
773,MaryMcGuckian,nm0570082
2236,AdamMcKay,nm0570912
1144,GregMcLean,nm0572562
753,DavidMcNally,nm0573589
1057,JamesMcTeigue,nm0574625
2052,CharlesdeMeaux,nm0575263
1321,JulioMedem,nm0575523
5383,HeleneMedigue,nm0575609
2991,JuanCarlosMedina,nm0575726
350,OlivierMegaton,nm0576298
1695,UrsulaMeier,nm0576732
932,FernandoMeirelles,nm0576987
2746,SiriMelchior,nm0577483
3679,TheodoreMelfi,nm0577647
3130,FernandMelgar,nm0577663
3985,GeorgeMendeluk,nm0578899
2363,JosueMendez,nm0579062
3608,RubenMendoza,nm0579370
2101,MariaVictoriaMenis,nm0579653
1077,IsabelleMergault,nm0580698
628,E.EliasMerhige,nm0580729
1671,AgnesMerlet,nm0580982
1812,FredericMermoud,nm0581081
399,ChristianMerret-Palmair,nm0581170
4805,IanMerrick,nm0581206
2280,Jean-HenriMeunier,nm0582841
1190,DaveMeyers,nm0583515
154,NancyMeyers,nm0583600
965,MennoMeyjes,nm0583675
5521,OlivierMeyrou,nm0583725
5212,FlorenceMiailhe,nm0583939
7390,Marie-DominiqueMichaud,nm0584729
2161,ThierryMichel,nm0584921
55,RogerMichell,nm0585011
1278,RaduMihaileanu,nm0586123
1240,TakashiMiike,nm0586281
1480,NikitaMikhalkov,nm0586482
2995,HeleneMilano,nm0586857
4108,ZdenekMiler,nm0587036
2079,Jean-LouisMilesi,nm0587271
2971,PatrickMille,nm0587791
1155,BennettMiller,nm0587955
6660,ChristopherMiller,nm0588087
1153,FrankMiller,nm0588341
6743,NathanMiller,nm0589050
1785,RebeccaMiller,nm0589182
2324,TimMiller,nm0589436
2478,MikeMills,nm0590122
3647,MatejMinac,nm0590882
5679,IgorMinaiev,nm0590991
3426,Jean-MarcMineo,nm0591129
3003,AlainMinier,nm0591360
2776,LucaMiniero,nm0591362
349,RobMinkoff,nm0591450
7526,MiranMiosic,nm0591870
4220,RezaMirkarimi,nm0591925
872,LexiAlexander,nm0591994
412,DavidMirkin,nm0592400
603,BradMirman,nm0592436
4689,FrancoisMiron,nm0592471
6867,MojtabaMirtahmasb,nm0592554
6699,ArianeMnouchkine,nm0594892
4922,FelixMoati,nm0594956
7193,FelixMoeller,nm0595436
1939,AviMograbi,nm0595783
1339,NadirMokneche,nm0596347
3117,AndreaMolaioli,nm0596403
2552,HansPetterMoland,nm0596407
862,DominikMoll,nm0596962
1159,FlorenceMoncorge-Gabin,nm0597664
1280,DominiqueMonfery,nm0597963
838,NadineMonfils,nm0597970
1081,AlainMonne,nm0598321
1935,DanielMonzon,nm0600409
415,LukasMoodysson,nm0600546
3466,JasonMoore,nm0601337
232,JohnMoore,nm0601382
261,MichaelMoore,nm0601619
2930,RichMoore,nm0601781
4897,ScottMoore,nm0601859
6251,MaryamMoghadam,nm0602206
2506,GuillemMorales,nm0602616
2473,LauraMorante,nm0603090
3580,JosephMorder,nm0603287
3602,GerardMordillat,nm0603294
3567,StefanoMordini,nm0603299
954,YolandeMoreau,nm0603446
1380,GaelMorel,nm0603588
858,PierreMorel,nm0603628
307,PascalMorelli,nm0603756
1800,PauloMorelli,nm0603758
225,NanniMoretti,nm0604335
6406,BrettMorgen,nm0605137
888,KojiMorimoto,nm0605479
3351,BruceMorrison,nm0607093
1717,KoenMortier,nm0607831
100,JonathanMostow,nm0609236
1618,GregMottola,nm0609549
6186,OualidMouaness,nm0609619
2300,LucMoullet,nm0609741
3264,LucianoMoura,nm0609931
1303,EmmanuelMouret,nm0609981
1481,Jean-MarcMoutout,nm0610182
2644,OrenMoverman,nm0610219
3036,ValerieMrejen,nm0610750
532,GabrieleMuccino,nm0610831
3816,VeroniqueMucretRouveyrollis,nm0610902
1887,KornelMundruczo,nm0610960
1011,RussellMulcahy,nm0611683
696,PeterMullan,nm0611932
3259,MichelMuller,nm0612204
2938,PhilMulloy,nm0612465
1595,CristianMungiu,nm0612816
1,AndrzejMunk,nm0612914
575,MichelMunz,nm0613351
4150,FrancescoMunzi,nm0613359
2984,JimmyT.Murakami,nm0613471
3147,JuliaMurat,nm0613580
3228,StephanieMurat,nm0613587
4256,PauleMuret,nm0613843
2134,WolfgangMurnberger,nm0613996
2348,DominicMurphy,nm0614212
1540,AlisonMurray,nm0614819
1066,AndyMuschietti,nm0615592
3922,JohnMusker,nm0615780
2579,MarkMylod,nm0617042
2398,MansMarlind,nm0617523
3218,GeorgesMelies,nm0617588
1796,RobertMenard,nm0617609
7132,EricMetayer,nm0617777
6778,FlemmingQuistMoller,nm0617960
2874,KimNguyen,nm0618485
757,JeffreyNachmanoff,nm0618680
4102,SajidNadiadwala,nm0618898
1389,RaphaelNadjari,nm0618930
3652,TatsuyaNagamine,nm0619110
5650,RamNehari,nm0619559
6794,AntonioNaharro,nm0619560
221,ChrisNahon,nm0619599
808,OmarNaim,nm0619715
529,MiraNair,nm0619762
3881,BabakNajafi,nm0619836
3585,CharlesNajman,nm0619882
6679,OlivierNakache,nm0619923
882,HideoNakata,nm0620378
1592,BharatNalluri,nm0620576
703,IsabelleNanty,nm0620964
438,MikioNaruse,nm0621540
466,VincenzoNatali,nm0622112
1564,CostaNatsis,nm0622402
1091,GregoryNava,nm0622695
995,AntonioNavarro,nm0622826
3235,AntonioNegret,nm0624423
318,JessieNelson,nm0625458
146,CharlesNemes,nm0625896
3626,CalinPeterNetzer,nm0626754
76,ClaudiaNeubern,nm0626817
2871,StanNeumann,nm0627125
6652,JeffNewitt,nm0627920
340,AndrewNiccol,nm0629272
281,McG,nm0629334
518,GuillaumeNicloux,nm0630112
2522,IgaalNiddam,nm0630561
2595,FrancisNielsen,nm0630802
331,SebastianNiemann,nm0631093
2849,NeilNightingale,nm0631473
6775,JohannesStjarneNilsson,nm0632312
3989,MizuhoNishikubo,nm0632716
5186,MarieNoelle,nm0633925
453,ChristopherNolan,nm0634240
5315,OlivierNolin,nm0634447
3072,RufusNorris,nm0635895
6578,YuriNorstein,nm0635956
743,JonathanNossiter,nm0636506
3085,ClaudineNougaret,nm0636666
1696,PhillipNoyce,nm0637518
570,GasparNoe,nm0637615
725,ClaudeNuridsany,nm0638175
5087,NeasaNiChianain,nm0639107
4131,DamienOdoul,nm0640913
1735,AgnesObadia,nm0643130
3835,ThierryObadia,nm0643135
4977,BettinaOberli,nm0643282
958,MichelOcelot,nm0643664
7257,DavidOfek,nm0644368
3391,ChristopheOffenstein,nm0644393
4450,LisaOhlin,nm0645038
6677,TensaiOkamura,nm0645513
3158,HiroyukiOkiura,nm0645657
3150,ErmannoOlmi,nm0647438
2913,GoranHugoOlsson,nm0648057
2113,DarezhanOmirbayev,nm0648421
183,FabienOnteniente,nm0648902
2090,NielsArdenOplev,nm0649117
2176,JoaquinOristrell,nm0649875
1790,KennyOrtega,nm0650905
649,MarkOsborne,nm0651706
759,MamoruOshii,nm0651900
2039,ValdisOskarsdottir,nm0652020
982,Marie-PascaleOsterrieth,nm0652404
2654,MarianaOtero,nm0652823
5184,UlrikeOttinger,nm0653200
5534,EliseOtzenberger,nm0653367
2142,DjamelOuahab,nm0653384
1600,GeorgeOvashvili,nm0653768
90,FrancoisOzon,nm0654830
2601,FerzanOzpetek,nm0654858
1554,YasujiroOzu,nm0654868
1989,JosePadilha,nm0655683
3581,CesarPaes,nm0655941
1274,MarkPalansky,nm0657372
660,FrancisPalluau,nm0657929
3667,JakePaltrow,nm0658823
846,HervePalud,nm0658836
1145,XavierPalud,nm0658837
3863,PanNalin,nm0659023
3672,OlivierPanchot,nm0659182
687,DannyPang,nm0659380
1514,RithyPanh,nm0659454
2896,SergePapagalli,nm0660216
2805,RoccoPapaleo,nm0660266
6435,YelenaPopovic,nm0660528
120,GillesPaquet-Brenner,nm0660707
825,DeanParisot,nm0661751
886,NickPark,nm0661910
3338,BradleyParker,nm0662086
2618,OliverParker,nm0662529
5135,OlParker,nm0662530
931,PhilippeParreno,nm0663448
2814,StefanoPasetto,nm0664519
2385,GoranPaskaljevic,nm0664607
2067,UbertoPasolini,nm0664667
870,JohnPasquin,nm0664756
6773,DavidPastor,nm0665041
2405,AlvaroPastor,nm0665091
1645,VincentPatar,nm0665262
510,PeterPau,nm0666702
720,DonMichaelPaul,nm0666806
1071,PawelPawlikowski,nm0667734
6301,MichaelaPavlatova,nm0667912
6969,BabakPayami,nm0668165
192,AlexanderPayne,nm0668247
1223,DavePayne,nm0668292
4343,RaoulPeck,nm0669704
6771,DavidPeers,nm0670302
2823,FredericPelle,nm0670937
254,MarkPellington,nm0671210
79,ArtusdePenguern,nm0671844
7414,StevePurcell,nm0672824
5281,ElisabethPerceval,nm0672828
3935,ViviannePerelmuter,nm0673281
539,LesterJamesPeries,nm0673754
2293,VladimirPerisic,nm0673829
2433,LaurentPerreau,nm0674543
2580,Jean-LucPerreard,nm0675387
7157,RaymondS.Persi,nm0675442
2040,LassePersson,nm0675616
4580,DanielPetitcuenot,nm0677632
3209,ElioPetri,nm0677880
107,DonaldPetrie,nm0677953
1525,ChristianPetzold,nm0678857
580,BradPeyton,nm0679031
3764,ChristianPhilibert,nm0679925
515,NicolasPhilibert,nm0679928
669,ToddPhillips,nm0680846
4094,XavierPicard,nm0681422
2988,PierrePinaud,nm0683857
1073,EnriquePineyro,nm0684127
2138,StevePink,nm0684336
3810,JoaquimPinto,nm0684666
4746,EmanuelaPiovano,nm0684842
3893,TayfunPirselimoglu,nm0685333
416,Pitof,nm0685759
3937,JuanPittaluga,nm0685882
3514,EricPittard,nm0685889
2537,RafiPitts,nm0686020
7129,ValeriaPivato,nm0686093
1334,MarceloPineyro,nm0686304
1171,MichelePlacido,nm0686375
2110,PatriciaPlattner,nm0686927
2492,PacoPlaza,nm0687042
1952,BillPlympton,nm0687739
1898,RodrigoPla,nm0687751
173,BrunoPodalydes,nm0687913
3794,BillPohlad,nm0688361
718,DidierPoiraud,nm0688489
4018,ThierryPoiraud,nm0688490
473,ManuelPoirier,nm0688544
449,Jean-MariePoire,nm0688585
4209,LauraPoitras,nm0688636
35,BretislavPojar,nm0688653
2251,EugenioPolgovsky,nm0689028
3088,BeatricePollet,nm0689552
6707,RenanPolles,nm0689721
818,JohnPolson,nm0689852
2656,JindrichPolak,nm0689983
5133,MarcoPontecorvo,nm0690602
4449,LeaPool,nm0690794
5252,ConstantinPopescu,nm0691223
2382,ErikPoppe,nm0691547
1706,PerePortabella,nm0691908
2730,GillesPorte,nm0691953
7436,VlastaPospisilova,nm0692770
5512,CelinePouillon,nm0693553
2150,AlanPoul,nm0693561
7158,HuguesPoulain,nm0693571
814,Jean-FrancoisPouliot,nm0693648
2521,ChantalPoupaud,nm0693798
607,PascalePouzadoux,nm0693903
2360,Jean-PierrePozzi,nm0694855
1256,ManuelPradal,nm0694946
3304,MarcosPrado,nm0695038
2354,DougPray,nm0695629
3903,FrederiquePressmann,nm0696316
1799,GinaPrince-Bythewood,nm0697656
3590,FredericProust,nm0698964
1351,MartinProvost,nm0699095
1661,MarcoSimonPuccioni,nm0699764
1828,LuciaPuenzo,nm0699932
1344,RobertPulcini,nm0700301
6659,MariePerennou,nm0701821
7449,EdgarPera,nm0702477
6887,JannoPoldma,nm0702505
2956,JulianPolsler,nm0702518
7357,BenjaminQuabeck,nm0702705
2783,StevenQuale,nm0702797
200,FlorenceQuentin,nm0703228
7456,RayQuint,nm0704072
4737,FredericQuiring,nm0704322
463,ArthurQwak,nm0704588
3191,IlmarRaag,nm0704664
3018,MichaelRadford,nm0705535
2129,MichaelRaeburn,nm0706080
3174,Pierre-LoupRajot,nm0707466
2347,PhilippeRamos,nm0708763
2341,LynneRamsay,nm0708903
2906,PeterRamsey,nm0709056
5835,AlainRaoust,nm0710639
704,BernardRapp,nm0710830
594,Jean-PaulRappeneau,nm0710919
292,BrettRatner,nm0711840
2815,BillyRay,nm0712753
4882,Marie-HeleneRebois,nm0714346
2407,JavierRebollo,nm0714361
1912,MarcRecha,nm0714437
2824,RyanRedford,nm0714865
471,PeytonReed,nm0715636
5697,JenniferReeder,nm0715781
1679,MattReeves,nm0716257
1007,NicolasWindingRefn,nm0716347
1893,KellyReichardt,nm0716980
6850,FergalReilly,nm0717678
4628,SophieReine,nm0717959
2750,AthinaRachelTsangari,nm0718125
6599,LotteReiniger,nm0718201
345,IvanReitman,nm0718645
1053,JasonReitman,nm0718646
3831,EdgarReitz,nm0718671
2615,FabienRemblier,nm0718881
2112,ChrisRenaud,nm0719208
2617,JohnRequa,nm0720135
756,AlainResnais,nm0720297
4162,KevinReynolds,nm0721817
6280,MollyReynolds,nm0721877
2133,YasminaReza,nm0722078
6463,JoseMiguelRibeiro,nm0722875
1657,Jean-MichelRibes,nm0722980
3848,GiulioRicciarelli,nm0723285
4779,MagalyRichard-Serrano,nm0723917
423,Jean-FrancoisRichet,nm0724938
3499,PatrickRidremont,nm0726034
5100,ThomasRiedelsheimer,nm0726123
5713,KilianRiedhof,nm0726136
6822,PatriciaRiggen,nm0726638
1078,EranRiklis,nm0726954
2121,Rintaro,nm0727336
2916,OlivierRinger,nm0727599
2137,CarlRinsch,nm0727754
1407,AlainRiou,nm0727929
6526,ArnaudRiou,nm0727930
728,DinoRisi,nm0728271
2488,MarcoRisi,nm0728276
171,JacquesRivette,nm0729626
4427,DenisRobert,nm0730628
1008,DanielRobichaud,nm0732106
4869,Marie-MoniqueRobin,nm0732215
1556,BruceRobinson,nm0732430
1080,ToddRobinson,nm0733149
4749,AdamRobitel,nm0733263
1201,EricRochant,nm0733886
6718,JeanRochefort,nm0734000
6036,AlexandreRockwell,nm0734319
1756,JoaoPedroRodrigues,nm0735134
3452,AlbertoRodriguez,nm0735703
2764,BrunoRolland,nm0738311
260,MarkRomanek,nm0738796
1582,Claude-MichelRome,nm0739168
1901,ChristopheVanRompaey,nm0739755
7412,BrunoRomy,nm0739787
2085,MarianaRondon,nm0740048
1954,AxelleRopert,nm0740612
2989,MireiaRos,nm0740760
1957,JaimeRosales,nm0740963
2095,BernardRose,nm0741262
1230,MartinRosen,nm0742034
4111,RudiRosenberg,nm0742323
2241,GianfrancoRosi,nm0742941
1747,MicheleRosier,nm0742982
2335,GaylenRoss,nm0743417
3986,MattRoss,nm0743671
1358,KimRossiStuart,nm0744107
1106,MarcRothemund,nm0745131
7406,ThiloRothkirch,nm0745199
7460,RodneyRothman,nm0745247
3445,PatrickRotman,nm0745377
4529,ArielRotter,nm0745438
3390,CeciliaRouaud,nm0745510
3028,ChristianRouaud,nm0745511
3597,Marc-AntoineRoudil,nm0745572
2851,Jean-ClaudeRousseau,nm0745948
5144,DavidRoux,nm0746196
5774,MaximeRoy,nm0747115
1330,MichelRoyer,nm0747377
6114,MatthieuRoze,nm0747678
937,BrigitteRouan,nm0747690
783,JosephRuben,nm0747849
1811,ChristopheRuggia,nm0749439
373,ChuckRussell,nm0751080
1557,DavidO.Russell,nm0751102
729,JayRussell,nm0751221
1213,AnthonyRusso,nm0751577
3660,JoeRusso,nm0751648
211,StefanRuzowitzky,nm0752328
111,MichaelRymer,nm0753382
6818,PascalRemy,nm0753734
4438,JeremieRenier,nm0753737
1294,OskarRoehler,nm0753912
3368,S.PierreYameogo,nm0754162
1646,NicolasSaada,nm0754256
5028,MichkaSaal,nm0754293
5007,CatherineGund,nm0754303
3606,CarlosSaboga,nm0754847
3254,IraSachs,nm0755158
3193,JeanSagols,nm0756215
3527,DjamilaSahraoui,nm0756389
1122,YoichiSai,nm0756406
3683,YannickSaillet,nm0756548
116,HironobuSakaguchi,nm0756983
4501,JoaoSalaviza,nm0757651
1127,CarlosSaldanha,nm0757858
2895,HinerSaleem,nm0757954
2625,Mahamat-SalehHaroun,nm0757958
4951,TarikSaleh,nm0757975
1754,LyesSalem,nm0758005
2949,Pierre-HenrySalfati,nm0758161
4190,GhassanSalhab,nm0758242
1325,EmmanuelSalinger,nm0758406
5928,RobertSalis,nm0758431
460,WalterSalles,nm0758574
144,Jean-PaulSalome,nm0758933
205,VictorSalva,nm0759207
717,PierreSalvadori,nm0759270
933,GabrieleSalvatores,nm0759368
2855,YaseminSamdereli,nm0759777
2156,ScottSanders,nm0761715
2007,HelmaSanders-Brahms,nm0761762
1666,MiguelSapochnik,nm0764601
6868,MassimoSarchielli,nm0764936
3272,ValeriaSarmiento,nm0765384
2244,MaratSarulu,nm0765700
3669,BernardSasia,nm0765876
7004,Jean-PaulSeaulieu,nm0766679
1038,HubertSauper,nm0767012
1751,CarlosSaura,nm0767022
1387,Jean-StephaneSauvaire,nm0767160
1236,DominicSavage,nm0767289
990,GeoffreySax,nm0768249
24,FranklinJ.Schaffner,nm0769874
596,AngelaSchanelec,nm0770018
6202,ManuelSchapira,nm0770066
2958,FredSchepisi,nm0770961
833,LoneScherfig,nm0771054
4065,SebastianSchipper,nm0771923
3024,MarkusSchleinzer,nm0772207
3096,VolkerSchlondorff,nm0772522
1927,Hans-ChristianSchmid,nm0772691
1475,BrankoSchmidt,nm0772851
3668,JanSchmidt-Garre,nm0773272
1111,Eric-EmmanuelSchmitt,nm0773418
230,JulianSchnabel,nm0773603
714,FredericSchoendoerffer,nm0774420
1884,KeithScholey,nm0774582
2794,SophieSchoukens,nm0774990
4389,MariaSchrader,nm0775056
255,BarbetSchroeder,nm0775447
1826,WernerSchroeter,nm0775573
1532,JohnSchultz,nm0776271
1883,LouieSchwartzberg,nm0777498
3834,JeffreySchwarz,nm0777593
942,RobertSchwentke,nm0777881
1766,PierreSchoeller,nm0778144
3823,EttoreScola,nm0778633
2141,JakeScott,nm0779265
1960,JordanScott,nm0779386
2708,KenScott,nm0779433
4366,LukeScott,nm0779524
428,Pierre-OlivierScotto,nm0780014
3283,DorotheeSebbagh,nm0780999
3124,ThierrySebban,nm0781003
4242,AndreaSedlackova,nm0781365
3894,AbrahamSegal,nm0781748
563,PeterSegal,nm0781842
1597,UlrichSeidl,nm0782430
567,AndrzejSekula,nm0782900
1270,HenrySelick,nm0783139
1263,AaronSeltzer,nm0783536
5714,ElieSemoun,nm0783879
361,DominicSena,nm0784061
4356,ParthoSen-Gupta,nm0784289
4369,RodrigoSepulveda,nm0784723
574,JulienSeri,nm0785164
5661,AndySerkis,nm0785227
174,ColineSerreau,nm0785684
6389,MichelSeydoux,nm0786733
2440,KarenShakhnazarov,nm0787668
4206,S.Shankar,nm0788171
2120,TomShankland,nm0788191
122,AdamShankman,nm0788202
1603,JohnPatrickShanley,nm0788234
1121,RaffyShart,nm0789347
1543,DrorShaul,nm0789496
1563,RobertShaye,nm0790144
411,ChuckSheetz,nm0790746
1216,AdrienneShelly,nm0791248
819,RichardShepard,nm0791672
1310,KirstenSheridan,nm0792202
3077,MasahiroShinoda,nm0793983
3349,CateShortland,nm0795153
73,M.NightShyamalan,nm0796117
809,CharlesShyer,nm0796124
4145,TedSieger,nm0797041
789,Siegfried,nm0797055
2130,FloriaSigismondi,nm0797455
654,BradSilberling,nm0797869
2847,KarineSilla,nm0798062
2908,CharlotteSilvera,nm0798821
1355,DavidSilverman,nm0798899
7005,JasonSilverman,nm0798918
7536,LucieSunkova,nm0799580
1690,ClaireSimon,nm0800098
6768,FrankSimon,nm0800140
2178,OlaSimonsson,nm0800800
991,Jean-PierreSinapi,nm0801533
3627,AnupSingh,nm0802084
2102,TarsemSingh,nm0802248
1228,RobertSiodmak,nm0802563
6884,GillesSionnet,nm0802576
5753,CarloSironi,nm0802910
4192,PhilippeSisbane,nm0802977
3842,CharlieSiskel,nm0803020
1357,AbderrahmaneSissako,nm0803066
3475,EyalSivan,nm0803346
3215,ErikSkjoldbjaerg,nm0804408
544,JerzySkolimowski,nm0804592
1743,BohdanSlama,nm0805246
3166,PalSletaune,nm0805760
2510,YannisSmaragdis,nm0806631
2548,NataliaSmirnoff,nm0807023
2232,KevinSmith,nm0808973
4488,LydiaB.Smith,nm0809166
7512,MarkC.Smith,nm0809243
2313,SarahSmith,nm0809877
4680,BrianSmrz,nm0810706
784,ZackSnyder,nm0811583
2208,SoYongKim,nm0811611
6059,PatrickSobelman,nm0811773
222,IainSoftley,nm0812200
2834,FredericSojcher,nm0812380
4585,JoSol,nm0812553
5359,FernandoE.Solanas,nm0812625
1042,JuanSolanas,nm0812626
85,SilvioSoldini,nm0812862
1546,PeterSollett,nm0813164
828,BrunoSolo,nm0813219
2331,JuliaSolomonoff,nm0813439
54,StephenSommers,nm0814085
5106,ChristianSonderegger,nm0814213
3044,SionSono,nm0814469
690,JimSonzero,nm0814517
6560,ShinjiSomai,nm0814570
302,AlainSoral,nm0814719
1113,CarlosSorin,nm0815044
530,PaoloSorrentino,nm0815204
3977,JeromeSoubeyrand,nm0815677
1476,MarinaSpada,nm0816498
4687,WillSpeck,nm0817447
1818,GotzSpielmann,nm0818608
5973,ChristianeSpiero,nm0818632
7151,MorganSpillemaecker,nm0818776
474,MichelSpinosa,nm0818996
5351,JordanaSpiro,nm0819079
6694,AnthonyStacchi,nm0820934
3765,AlexsStadermann,nm0821128
2598,DanielStamm,nm0821844
1633,BenStassen,nm0823721
1981,BurrSteers,nm0824882
2054,NicolasSteil,nm0825350
6793,BjornStein,nm0825407
4544,GustavoSteinberg,nm0825756
4587,LionelSteketee,nm0826259
970,JohnStephenson,nm0827268
3212,JoshuaMichaelStern,nm0827750
6751,RobertStevenhagen,nm0828207
3362,JohnStevenson,nm0828970
6672,ChrisStokes,nm0831321
1571,NicholasStoller,nm0831557
2721,Jean-MarieStraub,nm0833708
1451,ColinStrause,nm0833779
6710,GregStrause,nm0833780
3279,RobertStromberg,nm0834902
2295,CarolineStrubbe,nm0835249
1338,TeonaStrugarMitevska,nm0835294
7455,EdwardSturlis,nm0836393
3802,MichaelSturminger,nm0836423
1250,CharlesSturridge,nm0836430
3790,GisaburoSugii,nm0837485
1015,SteveSuissa,nm0837661
630,EliaSuleiman,nm0837839
1040,KevinRodneySullivan,nm0838198
4234,EricSummer,nm0838599
5406,StephenSusco,nm0839812
17,NobuhiroSuwa,nm0840485
4156,OgnjenSvilicic,nm0841291
866,BobSwaim,nm0841456
7025,DougSweetland,nm0842339
2621,BrigitteSy,nm0842918
5191,RobinSykes,nm0843096
3184,ThomasSzabo,nm0843604
2571,MalgorzataSzumowska,nm0844333
3379,JanosSzasz,nm0844444
1318,JorgeSanchez-Cabezudo,nm0845207
2344,JoelSeria,nm0845386
2036,JuanCarlosTabio,nm0846119
6795,ErezTadmor,nm0846328
7211,JunTakagi,nm0847058
442,IsaoTakahata,nm0847223
3356,Jean-ClaudeTaki,nm0847646
2182,YojiroTakita,nm0847690
1813,DavidE.Talbert,nm0847859
89,LeeTamahori,nm0848414
6732,LoveleenTandan,nm0849164
6405,GoroTaniguchi,nm0849465
4386,EmmaTammi,nm0849747
10,DanisTanovic,nm0849786
1323,CarineTardieu,nm0850366
2630,BelaTarr,nm0850601
1550,GenndyTartakovsky,nm0850733
1848,AlainTasma,nm0850942
359,BertrandTavernier,nm0851724
1192,NilsTavernier,nm0851731
3291,PaoloTaviani,nm0851752
3995,VittorioTaviani,nm0851754
2143,AlanTaylor,nm0851930
1518,TateTaylor,nm0853238
2026,SamTaylor-Johnson,nm0853374
367,JulieTaymor,nm0853380
3507,IouriTcherenkov,nm0853451
6215,IdaTecher,nm0853685
4193,ChicoTeixeira,nm0854098
1553,JulienTemple,nm0854697
358,AndyTennant,nm0855035
3186,JonathanTeplitzky,nm0855300
2893,SylvieTestud,nm0856500
1794,AgatheTeyssier,nm0856774
4874,SebastienThiery,nm0858061
2538,PascaleThirode,nm0858224
347,BettyThomas,nm0858525
6733,DanielaThomas,nm0858680
436,PascalThomas,nm0859323
2181,YvesThomas,nm0859666
5265,JoyaThome,nm0859762
2169,ChristopherThompson,nm0859985
559,DanieleThompson,nm0860019
2866,Jean-PierreThorn,nm0861292
